순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행일자,분야
22,9788925577340,S000200616350,오싹 오싹 당근!,"17,000","15,300",10%,5%,850,애런 레이놀즈,주니어RHK,20230110,유아(0~7세)
23,9788966350759,S000001034425,하늘 100층짜리 집,"12,000","10,800",10%,5%,600,이와이 도시오,북뱅크,20171225,유아(0~7세)
24,9791192655468,S000210865984,호박 목욕탕,"16,700","15,030",10%,5%,830,시바타 케이코,위즈덤하우스,20231103,유아(0~7세)
25,9788949108308,S000201245607,오늘도 너를 사랑해,"13,000","11,700",10%,5%,650,이누이 사에코,비룡소,20230310,유아(0~7세)
26,9791170283836,S000001858570,구름빵,"13,000","11,700",10%,5%,650,백희나,한솔수북,20191205,유아(0~7세)
27,9791189922535,S000213105640,진짜 진짜 행복해,"14,000","12,600",10%,5%,700,애나벨 세구라 란츠,오렌지연필,20240503,유아(0~7세)
28,9791197494222,S000001986933,감정에 이름을 붙여 봐,"14,000","12,600",10%,5%,700,이라일라,파스텔하우스,20220124,유아(0~7세)
29,9788901281728,S000213086770,별 조각 상점,"17,000","15,300",10%,5%,850,토마쓰리,웅진주니어,20240426,유아(0~7세)
30,9788901277158,S000211503894,친구의 전설,"16,800","15,120",10%,5%,840,이지은,웅진주니어,20231115,유아(0~7세)
1,9791192300818,S000208779631,마흔에 읽는 쇼펜하우어,"17,000","15,300",10%,5%,850,강용수,유노북스,20230907,인문
2,9791171711673,S000212753904,하루 한 장 나의 어휘력을 위한 필사 노트,"23,800","21,420",10%,5%,"1,190",유선경,위즈덤하우스,20241023,인문
3,9791167740984,S000201621022,도둑맞은 집중력,"18,800","16,920",10%,5%,940,요한 하리,어크로스,20230428,인문
4,9791193282045,S000212414274,쇼펜하우어 인생수업: 한 번뿐인 삶 이렇게 살아라(리커버 에디션),"17,500","15,750",10%,5%,870,쇼펜하우어,하이스트,20240220,인문
5,9791193506516,S000213310247,초역 부처의 말,"17,800","16,020",10%,5%,890,코이케 류노스케,포레스트북스,20240530,인문
6,9791190538602,S000208995869,생각이 너무 많은 어른들을 위한 심리학(20만 부 기념 리커버 에디션),"17,800","16,020",10%,5%,890,김혜남,메이븐,20230925,인문
7,9791191369540,S000212731700,왜 당신은 다른 사람을 위해 살고 있는가,"14,000","12,600",10%,5%,700,고윤(페이서스 코리아),딥앤와이드,20240315,인문
8,9791169850445,S000210410749,남에게 보여주려고 인생을 낭비하지 마라,"17,500","15,750",10%,5%,870,쇼펜하우어,페이지2북스,20231030,인문
9,9791192625553,S000202652825,쇼펜하우어 아포리즘: 당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,"17,500","15,750",10%,5%,870,아르투어 쇼펜하우어,포레스트북스,20230621,인문
10,9791194330424,S000214465905,넥서스,"27,800","25,020",10%,5%,"1,390",유발 하라리,김영사,20241011,인문
11,9791198530356,S000212478991,무엇이 나를 행복하게 만드는가,"19,800","17,820",10%,5%,990,리처드 J. 라이더 외,북플레저,20240304,인문
12,9788934972464,S000000597165,사피엔스,"26,800","24,120",10%,5%,"1,340",유발 하라리,김영사,20230401,인문
13,9791193937112,S000213494514,만일 나에게 단 한 번의 아침이 남아 있다면,"19,800","17,820",10%,5%,990,존 릴런드,북모먼트,20240626,인문
14,9791190313186,S000001938774,지적 대화를 위한 넓고 얕은 지식 1,"19,000","17,100",10%,5%,950,채사장,웨일북(whalebooks),20200205,인문
15,9791198704504,S000212778989,삶이 흔들릴 때 뇌과학을 읽습니다,"18,000","16,200",10%,5%,900,이케가야 유지,힉스,20240327,인문
16,9788965965046,S000001029426,도파민네이션,"18,000","16,200",10%,5%,900,애나 렘키,흐름출판,20220321,인문
17,9788901285894,S000213913660,불안 세대,"24,800","22,320",10%,5%,"1,240",조너선 하이트,웅진지식하우스,20240731,인문
18,9788901280776,S000212798435,사람을 안다는 것,"20,000","18,000",10%,5%,"1,000",데이비드 브룩스,웅진지식하우스,20240401,인문
19,9791192300917,S000210694912,오십에 읽는 주역,"17,000","15,300",10%,5%,850,강기진,유노북스,20231031,인문
20,9791193282069,S000212773396,니체 인생수업: 니체가 세상에 남긴 66가지 인생지혜(리커버 에디션),"17,500","15,750",10%,5%,870,프리드리히 니체,하이스트,20240322,인문
21,9788931011623,S000000549237,사랑의 기술,"17,000","15,300",10%,5%,850,에리히 프롬,문예출판사,20190901,인문
22,9791168341746,S000212430831,물질의 세계,"29,800","26,820",10%,5%,"1,490",에드 콘웨이,인플루엔셜,20240308,인문
23,9791193282113,S000213383086,석가모니 인생수업: 석가모니가 세상에 남긴 삶의 지혜,"17,500","15,750",10%,5%,870,석가모니,하이스트,20240524,인문
24,9791168340855,S000201078049,내면소통,"33,000","29,700",10%,5%,"1,650",김주환,인플루엔셜,20230227,인문
25,9791192953151,S000209670832,세상은 이야기로 만들어졌다,"27,000","24,300",10%,5%,"1,350",자미라 엘 우아실 외,원더박스,20231016,인문
26,9791171175864,S000213326678,행복의 기원,"22,000","19,800",10%,5%,"1,100",서은국,21세기북스,20240522,인문
27,9791189922450,S000211646617,잠들기 전에 읽는 쇼펜하우어,"17,000","15,300",10%,5%,850,예저우,오렌지연필,20231222,인문
28,9788934950196,S000213219059,숙론,"18,000","16,200",10%,5%,900,최재천,김영사,20240510,인문
29,9791190776752,S000001943655,3분 철학 1: 서양 고대 철학편,"16,000","14,400",10%,5%,800,김재훈,카시오페아,20210702,인문
30,9788937834790,S000000625441,정의란 무엇인가,"18,000","16,200",10%,5%,900,마이클 샌델,와이즈베리,20141120,인문
1,9791168473690,S000200746091,세이노의 가르침(올블랙 유광 에디션),"7,200","6,480",10%,5%,360,세이노(SayNo),데이원,20230302,자기계발
2,9791198682505,S000212647841,나를 소모하지 않는 현명한 태도에 관하여,"17,800","16,020",10%,5%,890,마티아스 뇔케,퍼스트펭귄,20240310,자기계발
3,9791192389325,S000208718100,퓨처 셀프,"19,800","17,820",10%,5%,990,벤저민 하디,상상스퀘어,20230830,자기계발
4,9791187142560,S000001897788,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),"11,500","10,350",10%,5%,570,데일 카네기,현대지성,20191007,자기계발
5,9791193262122,S000212731482,일류의 조건,"19,800","17,820",10%,5%,990,사이토 다카시,필름(Feelm),20240320,자기계발
6,9791193939130,S000214054358,고전이 답했다 마땅히 살아야 할 삶에 대하여,"16,800","15,120",10%,5%,840,고명환,라곰,20240826,자기계발
7,9788997575169,S000001619177,원씽(The One Thing)(60만 부 기념 스페셜 에디션),"16,800","15,120",10%,5%,840,게리 켈러 외,비즈니스북스,20130830,자기계발
8,9788901272580,S000202340164,역행자(확장판),"19,500","17,550",10%,5%,970,자청,웅진지식하우스,20230529,자기계발
9,9791191280333,S000001949990,데일 카네기 자기관리론(국내최초 초판 무삭제 완역본),"11,500","10,350",10%,5%,570,데일 카네기,현대지성,20210113,자기계발
10,9791191859836,S000213024625,나는 읽고 쓰고 버린다,"17,000","15,300",10%,1%,170,손웅정,난다,20240420,자기계발
11,9791158512859,S000212263758,나는 나의 스무 살을 가장 존중한다,"18,000","16,200",10%,5%,900,이하영,토네이도,20240228,자기계발
12,9791158510619,S000001767887,타이탄의 도구들,"18,000","16,200",10%,5%,900,팀 페리스,토네이도,20240224,자기계발
13,9791191214185,S000001949259,결국 해내는 사람들의 원칙,"18,000","16,200",10%,5%,900,앨런 피즈 외,반니,20201214,자기계발
14,9791162540640,S000001813652,아주 작은 습관의 힘,"16,000","14,400",10%,5%,800,제임스 클리어,비즈니스북스,20190226,자기계발
15,9791192389776,S000212716871,강인함의 힘,"22,000","19,800",10%,5%,"1,100",스티브 매그니스,상상스퀘어,20240327,자기계발
16,9791169850179,S000201245518,아주 세속적인 지혜,"13,500","12,150",10%,5%,670,발타자르 그라시안,페이지2북스,20230324,자기계발
17,9791193937136,S000213668980,나는 도대체 왜 피곤할까,"19,800","17,820",10%,5%,990,에이미 샤,북플레저,20240710,자기계발
18,9791191891492,S000211925133,똑똑한 사람은 어떻게 생각하고 질문하는가,"19,800","17,820",10%,5%,990,이시한,북플레저,20240124,자기계발
19,9791193904046,S000213219062,말하지 않으면 인생은 바뀌지 않는다,"20,000","18,000",10%,5%,"1,000",샘 혼,서삼독,20240516,자기계발
20,9791193506844,S000214299995,생각의 연금술,"19,800","17,820",10%,5%,990,제임스 알렌 외,포레스트북스,20240925,자기계발
21,9791162540633,S000001813651,그릿(50만부 판매 기념 리커버 골드에디션),"18,000","16,200",10%,5%,900,앤절라 더크워스,비즈니스북스,20221219,자기계발
22,9791164459667,S000213900397,데일 카네기 인간관계론(무삭제 최신 완역본),"11,000","9,900",10%,5%,550,데일 카네기,더스토리,20240816,자기계발
23,9791198517401,S000211213645,당신이 생각하는 모든 것을 믿지 말라,"18,000","16,200",10%,5%,900,조세프 응우옌,서삼독,20231122,자기계발
24,9791189938772,S000001933356,회복탄력성(15만부 기념 리커버),"14,800","13,320",10%,5%,740,김주환,위즈덤하우스,20190329,자기계발
25,9791190299800,S000210614176,대화의 정석,"18,500","16,650",10%,5%,920,정흥수,피카(FIKA),20231101,자기계발
26,9791193937143,S000213799640,호감의 시작(트윙클 에디션),"18,500","16,650",10%,5%,920,희렌최,북로망스,20240723,자기계발
27,9788901276571,S000210830482,더 마인드(10만부 기념 코멘터리 북),"19,800","17,820",10%,5%,990,하와이 대저택,웅진지식하우스,20231125,자기계발
28,9791158511586,S000001767935,우리는 모두 죽는다는 것을 기억하라,"17,000","15,300",10%,5%,850,웨인 다이어,토네이도,20191118,자기계발
29,9788947549363,S000211914718,히든 포텐셜,"22,000","19,800",10%,5%,"1,100",애덤 그랜트,한국경제신문,20240125,자기계발
30,9788950994518,S000000711324,프레임,"22,000","19,800",10%,5%,"1,100",최인철,21세기북스,20210302,자기계발
1,9788965138068,S000213543997,그의 운명에 대한  아주 개인적인 생각,"16,800","15,120",10%,5%,840,유시민,생각의길,20240619,정치/사회
2,9788927812517,S000212021076,박근혜 회고록 1: 어둠을 지나 미래로,"25,000","22,500",10%,5%,"1,250",박근혜,중앙북스,20240205,정치/사회
3,9791164846610,S000212306993,초고령사회 일본이 사는 법,"18,000","16,200",10%,5%,900,김웅철,매일경제신문사,20250403,정치/사회
4,9788993178692,S000001519705,지리의 힘,"20,000","18,000",10%,5%,"1,000",팀 마샬,사이,20160810,정치/사회
5,9788934935759,S000213226160,변방에서 중심으로,"33,000","29,700",10%,5%,"1,650",문재인,김영사,20240518,정치/사회
6,9791167741509,S000213228336,어떻게 극단적 소수가 다수를 지배하는가,"22,000","19,800",10%,5%,"1,100",스티븐 레비츠키 외,어크로스,20240521,정치/사회
7,9788993178302,S000213854885,지도로 보아야 보인다,"29,800","26,820",10%,5%,"1,490",에밀리 오브리 외,사이,20240730,정치/사회
8,9791193528013,S000211596941,우리는 미국을 모른다,"20,000","18,000",10%,5%,"1,000",김동현,부키,20231215,정치/사회
9,9788952766984,S000000733127,국가는 왜 실패하는가,"28,000","25,200",10%,5%,"1,400",대런 애쓰모글루 외,시공사,20120927,정치/사회
10,9791192836355,S000210900929,가난한 아이들은 어떻게 어른이 되는가,"17,500","15,750",10%,5%,870,강지나,돌베개,20231106,정치/사회
11,9788993178982,S000001519722,지리의 힘 2,"23,000","20,700",10%,5%,"1,150",팀 마샬,사이,20220410,정치/사회
12,9791160560589,S000001793712,어떻게 민주주의는 무너지는가,"16,800","15,120",10%,5%,840,스티븐 레비츠키 외,어크로스,20181002,정치/사회
13,9788936477196,S000000612820,선량한 차별주의자(30만부 기념 거울 에디션),"17,000","15,300",10%,5%,850,김지혜,창비,20241206,정치/사회
14,9788997780563,S000211992024,검찰의 심장부에서,"22,000","19,800",10%,5%,"1,100",한동수,오마이북,20240122,정치/사회
15,9788937834950,S000000625456,코끼리는 생각하지 마,"16,800","15,120",10%,5%,840,조지 레이코프,와이즈베리,20180520,정치/사회
16,9791166891533,S000202238226,공자가 죽어야 나라가 산다,"8,000","7,200",10%,5%,400,김경일,바다출판사,20230605,정치/사회
17,9788970871554,S000213969560,테러리스트 김구,"30,000","27,000",10%,5%,"1,500",정안기,미래사,20240815,정치/사회
18,9791198606006,S000212002874,"전광훈, 자유 통일의 길","20,000","18,000",10%,5%,"1,000",광화문연구소,뉴퓨리턴,20240126,정치/사회
19,9791187038030,S000001896430,왜 세계의 절반은 굶주리는가?,"12,800","11,520",10%,5%,640,장 지글러,갈라파고스,20160321,정치/사회
20,9788993178524,S000211834625,축소되는 세계,"23,000","20,700",10%,5%,"1,150",앨런 말라흐,사이,20240120,정치/사회
21,9791130645469,S000208719179,디케의 눈물(리스타트 에디션),"18,800","16,920",10%,5%,940,조국,다산북스,20240531,정치/사회
22,9791192663180,S000213799663,나는 고발한다: 이화영 대북송금 조작사건의 실체,"20,000","18,000",10%,5%,"1,000",김현철 외,PARK&JEONG,20240720,정치/사회
23,9791193166147,S000202799911,권력과 진보,"32,000","28,800",10%,5%,"1,600",대런 아세모글루 외,생각의힘,20230630,정치/사회
24,9791139700114,S000001718360,군중심리,"12,000","10,800",10%,5%,600,귀스타브 르 봉,현대지성,20211008,정치/사회
25,9788935678808,S000213999221,김대중 육성 회고록,"33,000","29,700",10%,5%,"1,650",연세대학교 김대중도서관,한길사,20240812,정치/사회
