순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행일자,분야
23,9791193937198,S000213999814,빛이 이끄는 곳으로,"18,800","16,920",10%,5%,940,백희성,북로망스,20240821,소설
24,9788937460586,S000000620195,싯다르타,"8,000","7,200",10%,5%,400,헤르만 헤세,민음사,20020120,소설
25,9791130649672,S000211833232,흐르는 강물처럼,"17,000","15,300",10%,5%,850,셸리 리드,다산책방,20240108,소설
26,9791162203620,S000001808685,파과,"15,800","14,220",10%,5%,790,구병모,위즈덤하우스,20180416,소설
27,9791191043754,S000061353833,세상의 마지막 기차역(리커버 에디션),"14,000","12,600",10%,5%,700,무라세 다케시,모모,20220509,소설
28,9788954638746,S000212854941,제15회 젊은작가상 수상작품집(2024),"15,000","13,500",10%,5%,750,김멜라 외,문학동네,20240331,소설
29,9788937434488,S000000619590,노르웨이의 숲,"17,000","15,300",10%,5%,850,무라카미 하루키,민음사,20170807,소설
30,9791192579504,S000201370169,바다가 들리는 편의점,"16,000","14,400",10%,5%,800,마치다 소노코,모모,20230324,소설
1,9788932024639,S000000569962,서랍에 저녁을 넣어 두었다,"12,000","10,800",10%,5%,600,한강,문학과지성사,20131115,시/에세이
2,9791157280292,S000001752581,꽃을 보듯 너를 본다,"13,000","11,700",10%,5%,650,나태주,지혜,20201130,시/에세이
3,9788932042725,S000213044371,누군가를 이토록 사랑한 적,"12,000","10,800",10%,5%,600,이병률,문학과지성사,20240424,시/에세이
4,9791193506073,S000211871551,사랑인 줄 알았는데 부정맥,"13,300","11,970",10%,5%,660,전국유로실버타운협회,포레스트북스,20240117,시/에세이
5,9788954696012,S000210141299,샤워젤과 소다수,"12,000","10,800",10%,5%,600,고선경,문학동네,20231019,시/에세이
6,9788932040448,S000061694107,나는 오래된 거리처럼 너를 사랑하고,"12,000","10,800",10%,5%,600,진은영,문학과지성사,20220831,시/에세이
7,9788970638331,S000001079757,지금 알고 있는 걸 그때도 알았더라면,"10,000","9,000",10%,5%,500,류시화 ,열림원,20141203,시/에세이
8,9791171710867,S000211646785,그대는 나의 여름이 되세요,"17,000","15,300",10%,5%,850,서덕준,위즈덤하우스,20231214,시/에세이
9,9791141077761,S000213834312,토마토 컵라면(스페셜 에디션),"9,000","8,100",10%,5%,450,차정은,부크크(Bookk),20240408,시/에세이
10,9788995501474,S000001573836,사랑하라 한번도 상처받지 않은 것처럼,"10,000","9,000",10%,5%,500,류시화,오래된미래,20081024,시/에세이
11,9791190382267,S000001939521,마음챙김의 시,"13,000","11,700",10%,5%,650,류시화 ,수오서재,20200917,시/에세이
12,9791170400608,S000061353411,너무 잘하려고 애쓰지 마라,"14,000","12,600",10%,5%,700,나태주,열림원,20220531,시/에세이
13,9791141600778,S000213513712,당근밭 걷기,"12,000","10,800",10%,5%,600,안희연,문학동네,20240615,시/에세이
14,9788932042701,S000212907555,시는 나를 끌고 당신에게로 간다,"12,000","10,800",10%,5%,600,문학과지성사 편집부,문학과지성사,20240403,시/에세이
15,9788937409394,S000211690708,정신머리,"12,000","10,800",10%,5%,600,박참새,민음사,20231215,시/에세이
16,9788936424466,S000000610336,여름 언덕에서 배운 것,"13,000","11,700",10%,5%,650,안희연,창비,20200724,시/에세이
17,9788932030395,S000000570297,바다는 잘 있습니다,"12,000","10,800",10%,5%,600,이병률,문학과지성사,20170920,시/에세이
18,9788954697132,S000211554830,별의 길,"13,800","12,420",10%,5%,690,양세형,이야기장수,20231204,시/에세이
19,9788932035307,S000000570429,날개 환상통,"12,000","10,800",10%,5%,600,김혜순,문학과지성사,20190331,시/에세이
20,9788954699440,S000212963606,사랑이 죽었는지 가서 보고 오렴,"12,000","10,800",10%,5%,600,박연준,문학동네,20240415,시/에세이
21,9791157284368,S000001752813,풀꽃,"13,000","11,700",10%,5%,650,나태주,지혜,20210405,시/에세이
22,9788954698818,S000209707012,내가 아직 쓰지 않은 것,"3,000","2,700",10%,5%,150,강신애 외,문학동네,20231016,시/에세이
23,9788932034942,S000000570399,우리가 함께 장마를 볼 수도 있겠습니다,"12,000","10,800",10%,5%,600,박준,문학과지성사,20181213,시/에세이
24,9791170402183,S000209746303,이해인의 햇빛 일기,"16,000","14,400",10%,5%,800,이해인,열림원,20231016,시/에세이
25,9788932003979,S000000568107,입 속의 검은 잎,"12,000","10,800",10%,5%,600,기형도,문학과지성사,19910201,시/에세이
26,9791193153093,S000209577656,오래 보고 싶었다,"17,000","15,300",10%,5%,850,나태주,더블북,20231005,시/에세이
27,9788936402945,S000212798421,이건 다만 사랑의 습관,"11,000","9,900",10%,5%,550,안희연 외,창비,20240329,시/에세이
28,9791157956357,S000001761890,하늘과 바람과 별과 시,"13,000","11,700",10%,5%,650,윤동주100년포럼,스타북스,20220216,시/에세이
29,9788925561820,S000000478717,가장 예쁜 생각을 너에게 주고 싶다,"15,000","13,500",10%,5%,750,나태주,알에이치코리아,20170607,시/에세이
30,9788959139309,S000000888070,어쩌면 별들이 너의 슬픔을 가져갈지도 몰라,"15,800","14,220",10%,5%,790,김용택,위즈덤하우스,20221101,시/에세이
1,9791171711451,S000212390791,빨간내복야코 맞춤법 절대 안 틀리는 책 1,"14,000","12,600",10%,5%,700,박종은,위즈덤하우스,20240221,어린이(초등)
2,9791158682798,S000211812702,읽으면서 바로 써먹는 어린이 세계 여행,"13,000","11,700",10%,5%,650,한날,파란정원,20240105,어린이(초등)
3,9791158682842,S000213087019,읽으면서 바로 써먹는 어린이 감정 표현,"13,000","11,700",10%,5%,650,한날,파란정원,20240505,어린이(초등)
4,9788954677158,S000000780847,긴긴밤,"12,500","11,250",10%,5%,620,루리,문학동네,20210203,어린이(초등)
5,9791171252565,S000211737385,웡카,"16,000","14,400",10%,5%,800,시빌 파운더,시공주니어,20240105,어린이(초등)
6,9791168341753,S000212731479,벚꽃 수영장,"16,800","15,120",10%,5%,840,신현경,북스그라운드,20240320,어린이(초등)
7,9791191836219,S000201465565,아홉 살에 시작하는 똑똑한 초등신문,"17,500","15,750",10%,5%,870,신효원,책장속북스,20230505,어린이(초등)
8,9788936448523,S000210779664,고양이 해결사 깜냥 6: 하품이의 가족을 찾아라!,"12,000","10,800",10%,5%,600,홍민정,창비,20231027,어린이(초등)
9,9791172032944,S000212737925,탁주 쪼꼬 탈출 게임 1,"14,500","13,050",10%,5%,720,탁주TV,대원키즈,20240319,어린이(초등)
10,9791192504339,S000212651047,백앤아 5: 수리수리 마녀 약방,"15,000","13,500",10%,5%,750,백앤아,샌드박스스토리키즈,20240306,어린이(초등)
11,9791164067183,S000212934840,이상한 과자 가게 전천당 20,"13,000","11,700",10%,5%,650,히로시마 레이코,길벗스쿨,20240422,어린이(초등)
12,9791186745625,S000211728104,해리포터 마법 주문 대백과,"13,800","12,420",10%,5%,690,머글넷,폴더,20231228,어린이(초등)
13,9791193379158,S000212054216,나에게 들려주는 예쁜 말,"16,800","15,120",10%,5%,840,김종원,상상아이,20240201,어린이(초등)
14,9791168341180,S000203332535,야옹이 수영 교실,"16,800","15,120",10%,5%,840,신현경,북스그라운드,20230730,어린이(초등)
15,9791158682880,S000214299207,어린이 스도쿠: 학교 괴담,"13,000","11,700",10%,5%,650,한날,파란정원,20240920,어린이(초등)
16,9791186494967,S000211736954,네모아저씨의 페이퍼 블레이드 히든카드,"11,500","10,350",10%,5%,570,네모아저씨 이원표,슬로래빗,20240103,어린이(초등)
17,9791169232593,S000212427978,대저택의 집 나가서 개고생,"14,000","12,600",10%,5%,700,집사TV,서울문화사,20240227,어린이(초등)
18,9788949162607,S000213500988,왕구리네 떡집,"13,000","11,700",10%,5%,650,김리리,비룡소,20240612,어린이(초등)
19,9788954674638,S000000780723,5번 레인,"12,500","11,250",10%,5%,620,은소홀,문학동네,20200914,어린이(초등)
20,9791189686987,S000212649641,이상한 무인 편의점,"14,000","12,600",10%,5%,700,서아람,라곰스쿨,20240313,어린이(초등)
21,9788936448608,S000212843933,위풍당당 여우 꼬리 5: 별빛 가득 기적의 무대,"13,000","11,700",10%,5%,650,손원평,창비,20240329,어린이(초등)
22,9791171251230,S000213096902,169층 나무 집,"15,000","13,500",10%,5%,750,앤디 그리피스,시공주니어,20240425,어린이(초등)
23,9788957077627,S000211730105,시간 고양이 4: 물과 불의 열차,"15,000","13,500",10%,5%,750,박미연,이지북,20231227,어린이(초등)
24,9791170626879,S000208490184,산리오캐릭터즈 도감,"14,000","12,600",10%,5%,700,대원키즈 편집부,대원앤북,20230818,어린이(초등)
25,9791168222663,S000212568949,똑 부러지게 내 생각을 전하는 말하기 연습,"14,300","12,870",10%,5%,710,임정민,서사원주니어,20240304,어린이(초등)
26,9791158682446,S000061450245,읽으면서 바로 써먹는 어린이 수수께끼: 공포 특급,"13,000","11,700",10%,5%,650,한날,파란정원,20220725,어린이(초등)
27,9791158682712,S000209212223,읽으면서 바로 써먹는 어린이 세계사 퀴즈 2,"13,000","11,700",10%,5%,650,한날,파란정원,20230925,어린이(초등)
28,9791158681258,S000001770940,읽으면서 바로 써먹는 어린이 속담,"12,000","10,800",10%,5%,600,한날,파란정원,20171030,어린이(초등)
29,9791168415331,S000212664623,흔한남매 이상한 나라의 고전 읽기 5,"14,000","12,600",10%,5%,700,최재훈,미래엔아이세움,20240314,어린이(초등)
30,9791158681746,S000001770974,어린이 수수께끼,"12,000","10,800",10%,5%,600,한날,파란정원,20200525,어린이(초등)
1,9791168418011,S000213034261,흔한남매 16,"14,500","13,050",10%,5%,720,흔한남매,미래엔아이세움,20240425,어린이(초등)
2,9791168418516,S000213724095,흔한남매 이무기 2,"15,800","14,220",10%,5%,790,이종혁,미래엔아이세움,20240710,어린이(초등)
3,9791168414488,S000212322171,흔한남매의 흔한 호기심 11,"14,000","12,600",10%,5%,700,흔한남매,미래엔아이세움,20240216,어린이(초등)
4,9791168417786,S000212222151,슈뻘맨의 숨은 과학 찾기 3,"14,000","12,600",10%,5%,700,슈뻘맨,미래엔아이세움,20240206,어린이(초등)
5,9791192504322,S000212157042,빨간내복야코 2,"15,000","13,500",10%,5%,750,빨간내복야코,샌드박스스토리,20240124,어린이(초등)
6,9791171249466,S000211872551,타키 포오 코믹 어드벤처 4,"14,500","13,050",10%,5%,720,캐릭온TV,대원키즈,20240110,어린이(초등)
7,9788934938224,S000211780014,흔한남매 과학 탐험대 0: 과학의 기초,"14,800","13,320",10%,5%,740,흔한남매,주니어김영사,20231228,어린이(초등)
8,9791168417984,S000212863478,에그박사 12,"14,500","13,050",10%,5%,720,에그박사,미래엔아이세움,20240322,어린이(초등)
9,9791168418905,S000214080733,흔한남매 흔한 게임 1,"15,800","14,220",10%,5%,790,흔한남매,미래엔아이세움,20240829,어린이(초등)
10,9791171173457,S000212054056,옐언니 1,"15,800","14,220",10%,5%,790,옐언니,아울북,20240124,어린이(초등)
11,9791171712267,S000213609893,놓지 마 과학! 19: 라면 먼저? 수프 먼저?,"14,000","12,600",10%,5%,700,신태훈 외,위즈덤하우스,20240626,어린이(초등)
12,9791172036669,S000212798263,타키 포오 얼렁뚱땅 상식스쿨 3,"14,000","12,600",10%,5%,700,캐릭온TV,대원키즈,20240328,어린이(초등)
13,9791130650135,S000212057609,Who? Special 킬리안 음바페,"15,000","13,500",10%,5%,750,김현수,다산어린이,20240130,어린이(초등)
14,9791168417656,S000211902247,흔한남매 수수께끼 어드벤처 4,"14,000","12,600",10%,5%,700,노지영,미래엔아이세움,20240109,어린이(초등)
15,9791193031452,S000212567620,설민석의 한국사 대모험 28,"13,000","11,700",10%,5%,650,설민석 외,단꿈아이,20240226,어린이(초등)
16,9791168417823,S000212658222,처음 읽는 그리스 로마 신화 11: 파리스의 선택,"13,500","12,150",10%,5%,670,최설희,미래엔아이세움,20240308,어린이(초등)
17,9791171174713,S000212736572,마법천자문 62: 앞으로를 서로 다짐하다! 약속,"15,800","14,220",10%,5%,790,스튜디오 훈훈,아울북,20240320,어린이(초등)
18,9791192488882,S000214016090,김켈리의 신비마트 1,"16,000","14,400",10%,5%,800,김켈리,베가북스,20240823,어린이(초등)
19,9791130692609,S000200075894,who? special 손흥민,"14,000","12,600",10%,5%,700,강진희,다산어린이,20221026,어린이(초등)
20,9791171712465,S000213920365,소맥거핀의 인체 친구들 1: 몸속 기관들의 대혼란,"14,800","13,320",10%,5%,740,소맥거핀,위즈덤하우스,20240731,어린이(초등)
21,9791169238618,S000211752712,뚜식이 4,"12,000","10,800",10%,5%,600,뚜식이,서울문화사,20231228,어린이(초등)
22,9791130660530,S000213566855,who? special 이강인,"15,000","13,500",10%,5%,750,이혜원,다산어린이,20240628,어린이(초등)
23,9791171712441,S000213920360,소맥거핀 일상 만화 1,"14,000","12,600",10%,5%,700,소맥거핀,위즈덤하우스,20240731,어린이(초등)
24,9791141144685,S000214106784,멜로우TV 1: 멜랑뚱땅 타워 탈출기,"16,800","15,120",10%,5%,840,멜로우TV 외,학산문화사,20240825,어린이(초등)
25,9791172456597,S000213660543,타키 포오 탐정 사무소 1: 프랑스 파리에 나타난 괴도 물음표,"14,500","13,050",10%,5%,720,캐릭온TV,대원키즈,20240627,어린이(초등)
26,9791130650937,S000212807706,별의 커비 푸푸푸 히어로 3: 푸푸푸랜드 최대의 사건!,"11,000","9,900",10%,5%,550,아오키 케이 외,다산어린이,20240329,어린이(초등)
27,9791168416864,S000211683917,환생학교 요괴반 2,"14,500","13,050",10%,5%,720,웃소,미래엔아이세움,20231221,어린이(초등)
28,9791169238113,S000208597635,여기는 루퐁이네: 귀염뽀짝 탐구 생활,"14,000","12,600",10%,5%,700,루퐁이,서울문화사,20230828,어린이(초등)
29,9791171722778,S000212232817,타키 포오의 이세계 여행사 5,"14,500","13,050",10%,5%,720,캐릭온TV,대원키즈,20240206,어린이(초등)
30,9791171174164,S000212575962,Go Go 카카오프렌즈 31: 네팔,"16,800","15,120",10%,5%,840,김미영,아울북,20240228,어린이(초등)
1,9788901276533,S000211352514,나는 메트로폴리탄 미술관의 경비원입니다(20만 부 기념 양장 에디션),"17,500","15,750",10%,5%,870,패트릭 브링리,웅진지식하우스,20231124,시/에세이
2,9788930041683,S000213451032,허송세월,"18,000","16,200",10%,5%,900,김훈,나남,20240620,시/에세이
3,9791197647666,S000200329012,기분이 태도가 되지 말자 (20만 부 기념 개정판),"17,000","15,300",10%,5%,850,김수현(훈글),하이스트,20221125,시/에세이
4,9791189352745,S000211654427,내가 한 말을 내가 오해하지 않기로 함,"19,800","17,820",10%,5%,990,문상훈,위너스북,20240105,시/에세이
5,9791188469994,S000001914848,당신은 결국 무엇이든 해내는 사람(특별 리커버 에디션),"17,000","15,300",10%,5%,850,김상현,필름(Feelm),20220420,시/에세이
6,9788976046529,S000212302920,삶을 견디는 기쁨(리커버:K),"16,800","15,120",10%,5%,840,헤르만 헤세,문예춘추사,20240228,시/에세이
7,9788901280684,S000212671852,찌그러져도 동그라미입니다,"17,800","16,020",10%,5%,890,김창완,웅진지식하우스,20240328,시/에세이
8,9791130648385,S000211346066,인생은 순간이다,"18,000","16,200",10%,5%,900,김성근,다산북스,20231115,시/에세이
9,9788956605593,S000000828225,불안(리커버:K),"18,000","16,200",10%,5%,900,알랭 드 보통,은행나무,20120104,시/에세이
10,9791193506394,S000212755870,"꽃길이 따로 있나, 내 삶이 꽃인 것을","16,800","15,120",10%,5%,840,오평선,포레스트북스,20240322,시/에세이
11,9791171174508,S000212704326,고층 입원실의 갱스터 할머니,"18,800","16,920",10%,5%,940,양유진,21세기북스,20240320,시/에세이
12,9791190382502,S000001939534,모든 것은 기본에서 시작한다(교보문고 단독 양장본),"16,000","14,400",10%,5%,800,손웅정,수오서재,20211015,시/에세이
13,9788933872352,S000211920054,사랑을 무게로 안 느끼게,"18,000","16,200",10%,5%,900,박완서,세계사,20240122,시/에세이
14,9791162145043,S000213913377,행복할 거야 이래도 되나 싶을 정도로,"18,000","16,200",10%,5%,900,일홍,부크럼,20240729,시/에세이
15,9788946422728,S000213094242,진짜 나를 찾아라,"18,000","16,200",10%,5%,900,법정,샘터(샘터사),20240430,시/에세이
16,9791171251179,S000212426406,나는 행복한 푸바오 할부지입니다,"18,000","16,200",10%,5%,900,강철원,시공사,20240225,시/에세이
17,9788970128337,S000001068777,달리기를 말할 때 내가 하고 싶은 이야기,"14,500","13,050",10%,5%,720,무라카미 하루키,문학사상,20161215,시/에세이
18,9788936811549,S000000616949,죽음의 수용소에서,"9,800","8,820",10%,5%,490,빅터 프랭클,청아출판사,20200530,시/에세이
19,9791193238172,S000211603439,내가 생각한 인생이 아니야,"18,000","16,200",10%,5%,900,류시화,수오서재,20231221,시/에세이
20,9791171253128,S000211929770,"푸바오, 언제나 사랑해","23,000","20,700",10%,5%,"1,150",에버랜드 동물원,시공주니어,20240115,시/에세이
21,9791169851053,S000214453032,어른의 행복은 조용하다,"17,800","16,020",10%,5%,890,태수,페이지2북스,20241104,시/에세이
22,9791192559742,S000203354065,좋은 일이 오려고 그러나 보다(10만부 기념 행운 에디션),"16,800","15,120",10%,5%,840,박여름,히읏,20230726,시/에세이
23,9791191114591,S000212972861,여행의 이유,"16,800","15,120",10%,5%,840,김영하,복복서가,20240417,시/에세이
24,9791193128640,S000211350160,사랑에 관한 거의 모든 기술,"16,800","15,120",10%,5%,840,김달,빅피시,20231207,시/에세이
25,9791198530394,S000212853500,내가 천 개의 인생에서 배운 것들,"18,000","16,200",10%,5%,900,김도윤,북로망스,20240417,시/에세이
26,9791171711581,S000212426112,파타(리커버:K),"22,000","19,800",10%,5%,"1,100",문가영,위즈덤하우스,20240306,시/에세이
27,9791198530301,S000211236187,하는 일마다 잘되리라,"18,000","16,200",10%,5%,900,전승환,북로망스,20231113,시/에세이
28,9791193262146,S000213175125,치즈덕이라서 좋아!(겨울에디션),"19,800","17,820",10%,5%,990,나봄,필름(Feelm),20240508,시/에세이
29,9791162143605,S000001807614,잘했고 잘하고 있고 잘 될 것이다(50만 부 기념),"18,000","16,200",10%,5%,900,정영욱,부크럼,20221028,시/에세이
30,9791193128909,S000212390835,때로는 간절함조차 아플 때가 있었다,"16,800","15,120",10%,5%,840,강지영,빅피시,20240307,시/에세이
1,9791192767116,S000212058462,디스 이즈 도쿄(2024~2025),"19,800","17,820",10%,5%,990,박설희 외,테라출판사(TERRA),20240201,여행
2,9791190073349,S000211402896,에이든 국내여행 가이드북(2024-2025),"26,500","23,850",10%,5%,"1,320",이정기 외,타블라라사,20231206,여행
3,9791192767123,S000212158254,디스 이즈 오사카(This is Osaka)(2024~2025),"19,800","17,820",10%,5%,990,호밀씨,테라출판사(TERRA),20240205,여행
4,9791193080252,S000212414885,리얼 도쿄(2024~2025),"21,000","18,900",10%,5%,"1,050",양미석,한빛라이프,20240226,여행
5,9791192767154,S000212674673,디스 이즈 이탈리아(2024~2025),"21,000","18,900",10%,5%,"1,050",전혜진 외,테라출판사(TERRA),20240315,여행
6,9791193080177,S000211779588,리얼 오사카(2024~2025),"18,800","16,920",10%,5%,940,황성민 외,한빛라이프,20240102,여행
7,9791193080382,S000213898074,리얼 후쿠오카(2024~2025),"17,000","15,300",10%,5%,850,원경혜,한빛라이프,20240729,여행
8,9791192767192,S000213221861,디스 이즈 스페인(This is Spain)(2024~2025),"21,000","18,900",10%,5%,"1,050",전혜진,테라출판사(TERRA),20240510,여행
9,9791192767178,S000212933433,디스 이즈 싱가포르(2024~2025),"19,800","17,820",10%,5%,990,이광훈,테라출판사(TERRA),20240410,여행
10,9791192767208,S000213284543,디스 이즈 파리(2024~2025),"20,000","18,000",10%,5%,"1,000",김민준 외,테라출판사(TERRA),20240517,여행
11,9791192767185,S000213078759,디스 이즈 홋카이도(This Is Hokkaido)(2024~2025),"19,800","17,820",10%,5%,990,권예나 외,테라출판사(TERRA),20240426,여행
12,9791191994278,S000212934714,마츠다 리스트,"22,000","19,800",10%,5%,"1,100",마츠다 아키히로,용감한 까치,20240415,여행
13,9788927880240,S000212218880,프렌즈 후쿠오카(2024~2025),"17,000","15,300",10%,5%,850,정꽃나래 외,중앙북스,20240212,여행
14,9791197880469,S000213627383,우리들의 발리 여행(2024~2025),"19,800","17,820",10%,5%,990,임현지,노트앤노트,20240710,여행
15,9791192767161,S000212778579,디스 이즈 타이완(2024~2025),"21,000","18,900",10%,5%,"1,050",신서희,테라출판사(TERRA),20240402,여행
16,9788927880059,S000210805114,프렌즈 스페인ㆍ포르투갈(2024~2025),"20,000","18,000",10%,5%,"1,000",박현숙,중앙북스,20231110,여행
17,9788927880653,S000214607507,프렌즈 뉴욕(2025~2026),"22,000","19,800",10%,5%,"1,100",이주은,중앙북스,20241111,여행
18,9791192767147,S000212674672,디스 이즈 스위스(2024~2025),"21,000","18,900",10%,5%,"1,050",심상은,테라출판사(TERRA),20240315,여행
19,9791198269461,S000211728623,팔로우 호주(2024-2025),"21,500","19,350",10%,5%,"1,070",제이민,트래블라이크,20231226,여행
20,9791193080184,S000212167441,리얼 오키나와(2024~2025),"18,000","16,200",10%,5%,900,전명윤,한빛라이프,20240130,여행
21,9791192767130,S000212302670,디스 이즈 미국 서부(2024~2025),"23,000","20,700",10%,5%,"1,150",제이민 외,테라출판사(TERRA),20240215,여행
22,9791193080290,S000212777564,리얼 호주(2024~2025),"22,000","19,800",10%,5%,"1,100",박선영,한빛라이프,20240328,여행
23,9791140709144,S000212997554,무작정 따라하기 도쿄(2024~2025),"19,800","17,820",10%,5%,990,정숙영,길벗,20240419,여행
24,9791192512693,S000212601672,일본 현지 간식 대백과,"18,000","16,200",10%,5%,900,일본 추억의 대백과 시리즈 편집부,클,20240320,여행
25,9788927813217,S000213747684,프렌즈 미국 동부(2024~2025),"23,000","20,700",10%,5%,"1,150",이주은 외,중앙북스,20240722,여행
26,9791193080269,S000212736368,리얼 타이베이(2024~2025),"19,800","17,820",10%,5%,990,김홍래,한빛라이프,20240322,여행
27,9791193080160,S000211775417,리얼 포르투갈(2024~2025),"19,000","17,100",10%,5%,950,우지경,한빛라이프,20240102,여행
28,9788927880370,S000213262356,프렌즈 미국 서부(2024~2025),"23,000","20,700",10%,5%,"1,150",이주은 외,중앙북스,20240503,여행
29,9791193080337,S000213663568,리얼 홍콩(2024~2025),"19,000","17,100",10%,5%,950,임요희 외,한빛라이프,20240627,여행
30,9791193080375,S000213845328,리얼 방콕(2024~2025),"19,000","17,100",10%,5%,950,배나영,한빛라이프,20240723,여행
1,9788934942467,S000201932024,총 균 쇠,"29,800","26,820",10%,5%,"1,490",재레드 다이아몬드,김영사,20230511,역사/문화
2,9791198243430,S000202678286,최소한의 한국사,"18,000","16,200",10%,5%,900,최태성,프런트페이지,20230621,역사/문화
3,9791193401217,S000213835377,"다시, 역사의 쓸모","18,000","16,200",10%,5%,900,최태성,프런트페이지,20240729,역사/문화
4,9791193128428,S000209045024,요즘 어른을 위한 최소한의 세계사,"18,800","16,920",10%,5%,940,임소미,빅피시,20230922,역사/문화
5,9791192519135,S000203096766,이주하는 인류,"19,000","17,100",10%,5%,950,샘 밀러,미래의창,20230720,역사/문화
6,9791164052547,S000213421258,세계를 움직인 열 가지 프레임,"20,000","18,000",10%,5%,"1,000",수바드라 다스,북하우스,20240607,역사/문화
7,9791167741370,S000212228209,"컬처, 문화로 쓴 세계사","22,000","19,800",10%,5%,"1,100",마틴 푸크너,어크로스,20240213,역사/문화
8,9791198593276,S000212721330,요즘 역사: 근대,"18,000","16,200",10%,5%,900,황현필,역바연,20240326,역사/문화
9,9791191438406,S000001951342,거꾸로 읽는 세계사,"17,500","15,750",10%,5%,870,유시민,돌베개,20211029,역사/문화
10,9791193506264,S000211753063,부의 세계사,"35,000","31,500",10%,5%,"1,750",윌리엄 번스타인,포레스트북스,20240115,역사/문화
11,9791130649252,S000211596245,효기심의 권력으로 읽는 세계사: 한중일 편,"22,000","19,800",10%,5%,"1,100",효기심,다산초당,20231205,역사/문화
12,9788936482756,S000000613008,박태균의 이슈 한국사,"15,000","13,500",10%,5%,750,박태균,창비,20150625,역사/문화
13,9791193401200,S000213835380,역사의 쓸모,"18,000","16,200",10%,5%,900,최태성,프런트페이지,20240729,역사/문화
14,9791170611080,S000212969552,벌거벗은 세계사: 권력자편,"23,000","20,700",10%,5%,"1,150",tvn<벌거벗은세계사>제작팀 외,교보문고,20240411,역사/문화
15,9791169850926,S000213859337,한국사는 없다,"22,000","19,800",10%,5%,"1,100",유성운,페이지2북스,20240805,역사/문화
16,9791170435488,S000213674028,역사를 보다,"23,000","20,700",10%,5%,"1,150",박현도 외,믹스커피,20240710,역사/문화
17,9791170610953,S000212432053,과학이 바꾼 전쟁의 역사,"16,800","15,120",10%,5%,840,박영욱,교보문고,20240228,역사/문화
18,9791193401095,S000212713745,벌거벗은 한국사: 조선편,"18,800","16,920",10%,5%,940,tvN STORY 〈벌거벗은 한국사〉 제작팀,프런트페이지,20240313,역사/문화
19,9791192836485,S000211507482,1945년 해방 직후사,"27,000","24,300",10%,5%,"1,350",정병준,돌베개,20231124,역사/문화
20,9791170871088,S000212757162,박시백의 고려사 5: 개혁의 실패와 망국으로의 길,"15,500","13,950",10%,5%,770,박시백,휴머니스트,20240325,역사/문화
21,9791159098161,S000061532612,벌거벗은 세계사: 전쟁편,"23,000","20,700",10%,5%,"1,150",tvn<벌거벗은세계사>제작팀,교보문고,20220727,역사/문화
22,9791193238196,S000211923454,뭉우리돌의 들녘,"22,000","19,800",10%,5%,"1,100",김동우,수오서재,20240119,역사/문화
23,9788936479381,S000202631732,아는 만큼 보인다,"22,000","19,800",10%,5%,"1,100",유홍준,창비,20230609,역사/문화
24,9791170610038,S000201745427,벌거벗은 세계사: 경제편,"23,000","20,700",10%,5%,"1,150",tvn<벌거벗은세계사>제작팀 외,교보문고,20230428,역사/문화
25,9791193128992,S000213585426,요즘 어른을 위한 최소한의 한국사,"18,800","16,920",10%,5%,940,임소미,빅피시,20240620,역사/문화
26,9791193128787,S000212675690,요즘 어른을 위한 최소한의 전쟁사,"18,800","16,920",10%,5%,940,김봉중,빅피시,20240320,역사/문화
27,9791193401057,S000211548402,벌거벗은 한국사: 영웅편,"18,800","16,920",10%,5%,940,tvN STORY 〈벌거벗은 한국사〉 제작팀,프런트페이지,20231204,역사/문화
28,9791190626279,S000212603249,인류의 세계사,"19,800","17,820",10%,5%,990,허버트 조지 웰스,이화북스,20240304,역사/문화
29,9791159095887,S000001775724,벌거벗은 세계사: 사건편,"23,000","20,700",10%,5%,"1,150",tvn<벌거벗은세계사>제작팀,교보문고,20220125,역사/문화
30,9791189328870,S000214176676,사라진 근대사 100장면 1: 몰락의 시대,"19,800","17,820",10%,5%,990,박종인,와이즈맵,20240915,역사/문화
1,9791168030817,S000213379570,선재 업고 튀어 대본집 세트,"50,000","45,000",10%,5%,"2,500",이시은,북로그컴퍼니,20240722,예술/대중문화
2,9791198340924,S000211563502,에디토리얼 씽킹,"20,000","18,000",10%,5%,"1,000",최혜진,터틀넥프레스,20231222,예술/대중문화
3,9791197831744,S000202934939,창조적 행위: 존재의 방식,"19,800","17,820",10%,5%,990,릭 루빈,코쿤북스,20230710,예술/대중문화
4,9788968331862,S000001056702,방구석 미술관,"16,800","15,120",10%,5%,840,조원재,블랙피쉬,20211221,예술/대중문화
5,9788956749327,S000212015930,인물 쉽게 그리는 방법,"20,000","18,000",10%,5%,"1,000",카와이 센세,정보문화사,20240130,예술/대중문화
6,9788947549417,S000212656507,"명화의 탄생, 그때 그 사람","21,000","18,900",10%,5%,"1,050",성수영,한경arte,20240307,예술/대중문화
7,9791190808781,S000213096551,바오패밀리 컬러링북,"21,000","18,900",10%,5%,"1,050",Kami25,라이카미(부즈펌),20240430,예술/대중문화
8,9788931471274,S000211692636,사막여우 소금이의 신비한 여행 컬러링북,"16,800","15,120",10%,5%,840,소금이,영진닷컴,20240105,예술/대중문화
